Name,Fight Name,Age,Weight,Record,Reach,Leg Reach
Daniel Kelly,N/A,40,185 lb ( 84 kg ),13-3-0,"70""","43"""
Song Kenan,The Assassin,28,170 lb ( 77 kg ),13-4-0,"71""","41"""
Jeremy Kennedy,JBC,25,145 lb ( 65 kg ),11-1-0,"71""","39"""
Casey  Kenney,N/A,27,125 lb ( 56 kg ),7-1-1,"68""",N/A
Rustam Khabilov,Tiger,31,155 lb ( 70 kg ),21-3-0,"73""","40"""
Adam Khaliev,N/A,33,170 lb ( 77 kg ),6-0-0,N/A,N/A
Alfred  Khashakyan,N/A,29,135 lb ( 61 kg ),8-4-0,"70""",N/A
Dong Hyun Kim,The Maestro,29,155 lb ( 70 kg ),16-8-3,"70""","42"""
Dong Hyun Kim,The Stun Gun,36,170 lb ( 77 kg ),"22-4-1, 1NC","76""","42"""
Ji Yeon Kim,Firefist,28,125 lb ( 56 kg ),7-1-2,"72""","37"""
Jeremy Kimball,Grizzly,27,205 lb ( 93 kg ),15-7-0,"72""","41"""
Justine Kish,N/A,30,125 lb ( 56 kg ),6-2-0,"64""","36"""
Drakkar Klose,N/A,30,155 lb ( 70 kg ),8-1-1,"70""","39"""
Jason Knight,The Kid,25,145 lb ( 65 kg ),20-4-0,"71""","39"""
Erik Koch,New Breed,29,155 lb ( 70 kg ),15-6-0,"71""","40"""
Syuri Kondo,N/A,29,115 lb ( 52 kg ),6-0-0,"66""",N/A
Karolina Kowalkiewicz,N/A,32,115 lb ( 52 kg ),12-2-0,"64""","38"""
James Krause,The James Krause,31,155 lb ( 70 kg ),23-8-0,"73""","40"""
Pascal Krauss,Panzer,30,170 lb ( 77 kg ),11-2-0,"72""",N/A
Kiichi Kunimoto,Strasser,36,170 lb ( 77 kg ),"19-6-2, 1NC","71""","41"""
Yana Kunitskaya,N/A,28,145 lb ( 65 kg ),"10-4-0, 1NC","68""","40"""
Kwan Ho Kwak,The Handsome,28,135 lb ( 61 kg ),9-2-0,"70""","39"""
Aspen Ladd,N/A,23,135 lb ( 61 kg ),6-0-0,N/A,N/A
Ryan LaFlare,N/A,34,170 lb ( 77 kg ),13-2-0,"74""","42"""
Tina Lahdemaki,Jelly Bean,29,115 lb ( 52 kg ),5-1-0,"62""",N/A
Ricardo Lamas,The Bully,35,145 lb ( 65 kg ),18-6-0,"71""","39"""
Lina Lansberg,Elbow Queen,36,135 lb ( 61 kg ),7-3-0,"65""","39"""
Chad Laprise,The Disciple,31,170 lb ( 77 kg ),14-2-0,"71""","39"""
Ilir Latifi,The Sledgehammer,34,205 lb ( 93 kg ),"15-5-0, 1NC","73""",N/A
Jenel Lausa,The Demolition Man,29,125 lb ( 56 kg ),7-4-0,"68""","35"""
Joe Lauzon,N/A,33,155 lb ( 70 kg ),27-16-0,"71""","40"""
Robbie Lawler,Ruthless,36,170 lb ( 77 kg ),"28-12-0, 1NC","74""","39"""
Tom Lawlor,Filthy,34,205 lb ( 93 kg ),"10-6-0, 1NC","74""","41"""
Thanh  Le,N/A,32,145 lb ( 65 kg ),7-1-0,"74""",N/A
Mickael Lebout,Ragnar,30,155 lb ( 70 kg ),"14-5-1, 1NC","73""","39"""
Justin Ledet,El Blanco,29,240 lb ( 109 kg ),"9-0-0, 1NC","80""","43"""
Andrea Lee,KGB,29,125 lb ( 56 kg ),8-2-0,N/A,N/A
Kevin Lee,The Motown Phenom,25,155 lb ( 70 kg ),16-4-0,"77""","39"""
Cheyden  Leialoha,Steadfast,24,135 lb ( 61 kg ),6-1-0,"73""",N/A
Thales Leites,N/A,36,185 lb ( 84 kg ),27-8-0,"78""","41"""
Amanda Lemos,N/A,30,135 lb ( 61 kg ),6-1-1,"65""","36"""
Nik Lentz,The Carny,33,155 lb ( 70 kg ),"30-8-2, 1NC","68""","38"""
Bevon Lewis,N/A,26,185 lb ( 84 kg ),4-0-0,N/A,N/A
Derrick Lewis,The Black Beast,33,260 lb ( 118 kg ),"19-5-0, 1NC","79""","43"""
Hyun Gyu Lim,The Ace,33,170 lb ( 77 kg ),13-7-1,"77""","43"""
Dhiego Lima,N/A,29,170 lb ( 77 kg ),14-7-0,"74""","42"""
Juliana Lima,Ju Thai,36,115 lb ( 52 kg ),9-5-0,"65""","39"""
John Lineker,Hands of Stone,27,135 lb ( 61 kg ),30-8-0,"67""","36"""
Pingyuan Liu,N/A,N/A,135 lb ( 61 kg ),10-5-0,N/A,N/A
Artem Lobov,The Russian Hammer,31,145 lb ( 65 kg ),"14-14-1, 1NC","65""","38"""
Hector Lombard,Showeather,40,185 lb ( 84 kg ),"34-9-1, 2NC","71""","38"""
Benito Lopez,Golden Boy,24,135 lb ( 61 kg ),9-0-0,"73""",N/A
Matthew Lopez,N/A,31,135 lb ( 61 kg ),10-4-0,"69""","38"""
Vicente Luque,The Silent Assassin,26,170 lb ( 77 kg ),12-6-1,"75""","38"""
Veronica Macedo,N/A,22,135 lb ( 61 kg ),5-1-1,N/A,N/A
Lyoto Machida,The Dragon,39,185 lb ( 84 kg ),23-8-0,"74""","42"""
Reza Madadi,Mad Dog,39,155 lb ( 70 kg ),14-6-0,"72""","42"""
Neil Magny,N/A,30,170 lb ( 77 kg ),20-7-0,"80""","45"""
Rashid Magomedov,Goretz,33,155 lb ( 70 kg ),20-2-0,"70""","39"""
Ruslan Magomedov,Leopard,31,242 lb ( 109 kg ),14-1-0,"78""",N/A
Zabit Magomedsharipov,N/A,27,145 lb ( 65 kg ),15-1-0,"73""","42"""
Demian Maia,N/A,40,170 lb ( 77 kg ),25-8-0,"72""","42"""
John  Makdessi,The Bull,32,155 lb ( 70 kg ),15-6-0,"68""","38"""
Islam Makhachev,N/A,26,155 lb ( 70 kg ),15-1-0,"70""","40"""
Jimi Manuwa,Poster Boy,38,205 lb ( 93 kg ),17-3-0,"79""","43"""
Randa Markos,Quiet Storm,32,115 lb ( 52 kg ),8-6-0,"63""","39"""
Julian Marquez,The Cuban Missile Crisis ,27,185 lb ( 84 kg ),7-1-0,"75""",N/A
Jack Marshman,The Hammer,28,170 lb ( 77 kg ),22-7-0,"73""","39"""
Tony Martin,N/A,28,155 lb ( 70 kg ),12-4-0,"73""","41"""
Adriano Martins,N/A,35,155 lb ( 70 kg ),28-9-0,"72""","40"""
Tiffany Masters,Rainbow Renegade,23,115 lb ( 52 kg ),2-1-0,"65""",N/A
Jorge Masvidal,Gamebred,33,170 lb ( 77 kg ),32-13-0,"74""","39"""
Jake Matthews,The Celtic Kid,23,170 lb ( 77 kg ),13-3-0,"73""","42"""
Don'Tale Mayes,King Kong,26,251 lb ( 114 kg ),3-2-0,N/A,N/A
Gray Maynard,N/A,38,145 lb ( 65 kg ),"14-7-1, 1NC","70""","39"""
Gina Mazany,Danger,29,135 lb ( 61 kg ),5-1-0,"68""","38"""
Michael McBride,N/A,32,155 lb ( 70 kg ),8-3-0,"75""","42"""
Ian McCall,Uncle Creepy,33,125 lb ( 56 kg ),13-5-1,"64""","37"""
Court McGee,The Crusher,33,170 lb ( 77 kg ),19-6-1,"75""","41"""
Conor McGregor,The Notorious,29,155 lb ( 70 kg ),21-3-0,"74""","40"""
Sara McMann,N/A,37,135 lb ( 61 kg ),11-5-0,"66""","37"""
Tim Means,The Dirty Bird,34,170 lb ( 77 kg ),"27-10-1, 1NC","75""","43"""
Yancy Medeiros,N/A,30,155 lb ( 70 kg ),"15-5-0, 1NC","75""","41"""
Emil Meek,Valhalla,29,170 lb ( 77 kg ),"9-2-1, 1NC","74""","40"""
Gerald Meerschaert,GM3,30,185 lb ( 84 kg ),27-9-0,"77""","40"""
Jordan Mein,Young Gun,28,170 lb ( 77 kg ),30-12-0,"73""","41"""
Gilbert Melendez,El Niño,36,155 lb ( 70 kg ),22-7-0,"73""","40"""
Augusto Mendes,Tanquinho,35,135 lb ( 61 kg ),6-2-0,"65""","36"""
Chad Mendes,Money,32,145 lb ( 65 kg ),17-4-0,"66""","37"""
Alonzo Menifield,N/A,30,205 lb ( 93 kg ),4-0-0,"76""","41"""
Jonathan Meunier,The French Spider,30,170 lb ( 77 kg ),8-1-0,"75""","43"""
Bojan Mihajlovic,N/A,38,205 lb ( 93 kg ),10-5-0,"73""","41"""
Curtis Millender,Curtious,30,170 lb ( 77 kg ),15-3-0,"76""","45"""
Jim Miller,N/A,34,155 lb ( 70 kg ),"28-11-0, 1NC","71""","40"""
Adam Milstead,The Prototype,30,205 lb ( 93 kg ),"8-2-0, 1NC","76""","42"""
Alberto Mina,Soldier of God,35,170 lb ( 77 kg ),13-0-0,"77""","42"""
Stipe Miocic,N/A,35,240 lb ( 109 kg ),18-2-0,"80""","39"""
Frank Mir,N/A,38,264 lb ( 119 kg ),18-11-0,"79""","43"""
Vitor Miranda,Lex Luthor,39,185 lb ( 84 kg ),13-6-0,"77""","43"""
Roxanne Modafferi,The Happy Warrior,35,125 lb ( 56 kg ),21-15-0,N/A,N/A
Renato Moicano,N/A,28,145 lb ( 65 kg ),12-1-1,"72""","42"""
Ashkan Mokhtarian,The Assassin ,32,125 lb ( 56 kg ),13-3-0,"67""","38"""
Nicco Montano,N/A,29,125 lb ( 56 kg ),5-2-0,N/A,N/A
Marlon Moraes,Magic,29,135 lb ( 61 kg ),20-5-1,"67""","37"""
Sergio Moraes,The Panther,35,170 lb ( 77 kg ),13-4-1,"72""","42"""
Sheymon Moraes,N/A,27,145 lb ( 65 kg ),9-1-0,"72""","40"""
John Moraga,Chicano,34,125 lb ( 56 kg ),19-6-0,"66""","37"""
Albert Morales,The Warrior,26,135 lb ( 61 kg ),7-4-1,"72""","39"""
Joseph Morales,Bopo,23,125 lb ( 56 kg ),9-1-0,"69""",N/A
Sarah Moras,Cheesecake,29,135 lb ( 61 kg ),5-4-0,"67""","38"""
Brandon Moreno,The Assassin Baby,24,125 lb ( 56 kg ),14-4-0,"70""","38"""
Dan Moret,The Hitman,31,155 lb ( 70 kg ),13-5-0,"73""","42"""
Alex Morono,The Great White,27,170 lb ( 77 kg ),"14-4-0, 1NC","72""","39"""
Maryna Moroz,Iron Lady,26,115 lb ( 52 kg ),8-3-0,"67""","37"""
Jamie Moyle,N/A,N/A,115 lb ( 52 kg ),4-2-0,"65""","35"""
Lauren Mueller,Princess Tiger,26,125 lb ( 56 kg ),6-0-0,"67""","38"""
Belal Muhammad,Remember The Name,29,170 lb ( 77 kg ),13-2-0,"72""","40"""
James Mulheron,Juggernaut,30,243 lb ( 110 kg ),11-2-0,"73""","41"""
Pedro Munhoz,The Young Punisher,31,135 lb ( 61 kg ),"15-3-0, 1NC","64""","36"""
Lauren Murphy,Lucky,34,125 lb ( 56 kg ),10-3-0,"67""","38"""
Azamat Murzakanov,N/A,N/A,205 lb ( 93 kg ),7-0-0,N/A,N/A
Nico Musoke,N/A,32,170 lb ( 77 kg ),"13-5-0, 1NC","75""","39"""
Magomed Mustafaev,N/A,29,155 lb ( 70 kg ),13-2-0,"71""","40"""
Keita Nakamura,K-Taro,33,170 lb ( 77 kg ),"33-8-2, 1NC","73""","40"""
Rose Namajunas,Thug,25,115 lb ( 52 kg ),9-3-0,"65""","39"""
Nad Narimani,Smiler,31,155 lb ( 70 kg ),10-2-0,"70""","40"""
Rafael Natal,Sapo,35,185 lb ( 84 kg ),21-9-1,"76""","43"""
Geoff Neal,Handz of Steel,27,170 lb ( 77 kg ),9-2-0,"75""","41"""
Gunnar Nelson,Gunni,29,170 lb ( 77 kg ),16-3-1,"72""","39"""
Roy Nelson,Big Country,41,263 lb ( 119 kg ),23-14-0,"72""","44"""
Antonio Braga Neto,N/A,30,185 lb ( 84 kg ),"9-3-0, 1NC","77""",N/A
Francis Ngannou,The Predator,31,250 lb ( 113 kg ),11-2-0,"83""","44"""
Ben Nguyen,10,29,125 lb ( 56 kg ),17-7-0,"65""","39"""
Alex Nicholson,The Spartan,27,185 lb ( 84 kg ),7-4-0,"81""",N/A
Matheus Nicolau,N/A,25,125 lb ( 56 kg ),13-2-1,"66""","38"""
Antonio Rogerio Nogueira,N/A,41,205 lb ( 93 kg ),22-7-0,"75""","43"""
Sage Northcutt,Super,22,155 lb ( 70 kg ),10-2-0,"71""","40"""
Amanda Nunes,The Lioness,29,135 lb ( 61 kg ),15-4-0,"69""","41"""
Khabib Nurmagomedov,The Eagle,29,155 lb ( 70 kg ),26-0-0,"70""","40"""
Kennedy Nzechukwu,African Savage,25,205 lb ( 93 kg ),3-0-0,"82""",N/A
Sean O'Malley,Sugar,23,135 lb ( 61 kg ),10-0-0,"72""","39"""
Volkan Oezdemir,No Time,28,205 lb ( 93 kg ),15-2-0,"75""","40"""
Yushin Okami,Thunder,36,170 lb ( 77 kg ),34-12-0,"75""","41"""
Aleksei Oleinik,The Boa Constrictor,40,240 lb ( 109 kg ),52-11-1,"80""","45"""
Michal Oleksiejczuk,Lord,23,205 lb ( 93 kg ),13-2-0,"74""","40"""
Alex Oliveira,Cowboy,30,170 lb ( 77 kg ),"17-4-1, 2NC","76""","43"""
Charles Oliveira,Do Bronx,28,155 lb ( 70 kg ),"22-8-0, 1NC","74""","41"""
Cameron Olson,Cap'n Crunch,28,205 lb ( 93 kg ),"8-3-0, 1NC","75""",N/A
Daniel Omielanczuk,N/A,35,247 lb ( 112 kg ),"19-8-1, 1NC","74""","41"""
Brian Ortega,T-City,27,145 lb ( 65 kg ),"14-0-0, 1NC","69""","39"""
Dustin Ortiz,N/A,29,125 lb ( 56 kg ),18-7-0,"65""","35"""
Rachael Ostovich,N/A,27,125 lb ( 56 kg ),4-3-0,N/A,N/A
Zak Ottow,The Barbarian,31,170 lb ( 77 kg ),16-5-0,"72""","40"""
Sidney Outlaw,N/A,26,170 lb ( 77 kg ),9-4-0,"74""",N/A
Alistair Overeem,The Demolition Man,37,265 lb ( 120 kg ),"43-16-0, 1NC","80""","44"""
Larissa Pacheco,N/A,23,135 lb ( 61 kg ),10-2-0,"69""",N/A
Teemu Packalen,Pacu,30,155 lb ( 70 kg ),8-2-0,"72""",N/A
Alexandre Pantoja,The Cannibal,27,125 lb ( 56 kg ),18-3-0,"67""","36"""
Alan Patrick,Nuguette,34,155 lb ( 70 kg ),15-1-0,"74""","42"""
Ross Pearson,The Real Deal,33,155 lb ( 70 kg ),"22-14-0, 1NC","69""","39"""
Tyson Pedro,N/A,26,205 lb ( 93 kg ),7-1-0,"79""","43"""
Julianna Peña,The Venezuelan Vixen,28,135 lb ( 61 kg ),9-3-0,"69""","39"""
BJ Penn,The Prodigy,39,145 lb ( 65 kg ),16-12-2,"70""","37"""
Jessica Penne,N/A,35,115 lb ( 52 kg ),12-6-0,"67""","38"""
Raquel Pennington,Rocky,29,135 lb ( 61 kg ),9-6-0,"67""","37"""
Godofredo Pepey,Pepey,30,145 lb ( 65 kg ),14-6-0,"73""","41"""
Viviane Pereira,Sucuri,24,115 lb ( 52 kg ),13-1-0,"63""","35"""
Alejandro Perez,Turbo,28,135 lb ( 61 kg ),22-6-1,"67""","36"""
Alex Perez,N/A,26,125 lb ( 56 kg ),20-4-0,"65""","38"""
Frankie Perez,N/A,28,155 lb ( 70 kg ),10-4-0,"73""","40"""
Markus Perez,Maluko,27,185 lb ( 84 kg ),9-1-0,N/A,N/A
Mike Perry,Platinum,26,170 lb ( 77 kg ),11-3-0,"71""","39"""
Steven Peterson,Ocho,27,145 lb ( 65 kg ),16-7-0,"70""","39"""
Peter Petties ,The Joker,27,145 lb ( 65 kg ),5-3-0,N/A,N/A
Anthony Pettis,Showtime,31,155 lb ( 70 kg ),20-7-0,"72""","40"""
Sergio Pettis,N/A,24,125 lb ( 56 kg ),16-3-0,"69""","38"""
John Phillips,The Welsh Wrecking Machine,32,185 lb ( 84 kg ),"21-6-0, 1NC","75""","42"""
Kyler  Phillips ,The Matrix,22,135 lb ( 61 kg ),5-0-0,N/A,N/A
Vinc Pichel,From Hell,35,155 lb ( 70 kg ),11-1-0,"72""","40"""
Jamie Pickett,N/A,29,185 lb ( 84 kg ),7-2-0,"80""","45"""
Oskar Piechota,Imadlo,28,185 lb ( 84 kg ),11-0-1,"76""","42"""
Dustin Poirier,The Diamond,29,155 lb ( 70 kg ),"23-5-0, 1NC","72""","40"""
Igor Pokrajac,The Duke,39,205 lb ( 93 kg ),"25-13-0, 1NC","74""",N/A
Santiago Ponzinibbio,Gente Boa,31,170 lb ( 77 kg ),27-3-0,"73""","40"""
Devin Powell,N/A,30,155 lb ( 70 kg ),8-3-0,"73""","41"""
Marcin Prachnio,N/A,29,205 lb ( 93 kg ),13-3-0,N/A,N/A
Michel Prazeres,Tractor,36,155 lb ( 70 kg ),24-2-0,"67""","37"""
Niko Price,The Hybrid,28,170 lb ( 77 kg ),"11-1-0, 1NC","76""","42"""
Joe Proctor,N/A,32,170 lb ( 77 kg ),11-5-0,"72""","39"""
Lucie Pudilova,N/A,23,135 lb ( 61 kg ),8-2-0,"67""","42"""
Claudio Puelles,El Nino ,21,155 lb ( 70 kg ),8-2-0,"72""","40"""
CM Punk,N/A,39,170 lb ( 77 kg ),0-1-0,"73""","41"""
Mike Pyle,Quicksand,42,170 lb ( 77 kg ),27-14-1,"74""","41"""
Michel Quinones,Capo,33,155 lb ( 70 kg ),8-3-0,"73""","40"""
Jose Quinonez,Teco,27,135 lb ( 61 kg ),8-2-0,"69""","39"""
Ricky Rainey,The Sniper,34,170 lb ( 77 kg ),13-5-0,"77""","43"""
Aleksandar Rakic,N/A,26,205 lb ( 93 kg ),8-1-0,"78""","46"""
Davi Ramos,Tasmanian Devil,31,155 lb ( 70 kg ),7-2-0,"70""","37"""
Ricardo Ramos,N/A,22,135 lb ( 61 kg ),11-1-0,"72""","40"""
Bec Rawlings,Rowdy,29,125 lb ( 56 kg ),7-8-0,"64""","38"""
Stevie Ray,Braveheart,28,155 lb ( 70 kg ),21-7-0,"70""","39"""
Greg Rebello,N/A,35,226 lb ( 102 kg ),22-7-0,"73""","40"""
Karl Reed,No Worries,29,205 lb ( 93 kg ),2-1-0,"78""","45"""
Wilson Reis,N/A,33,125 lb ( 56 kg ),22-9-0,"65""","36"""
Marion Reneau,The Belizean Bruiser,40,135 lb ( 61 kg ),9-3-1,"68""","39"""
Alex Reyes,The Executioner,31,170 lb ( 77 kg ),N/A,"73""",N/A
Dominick Reyes,The Devastator,28,205 lb ( 93 kg ),8-0-0,"77""","43"""
Marco Polo Reyes,El Toro,33,155 lb ( 70 kg ),7-5-0,"71""","41"""
Amanda Ribas,N/A,24,115 lb ( 52 kg ),6-1-0,N/A,N/A
Jordan Rinaldi,N/A,30,155 lb ( 70 kg ),13-6-0,"72""","40"""
Diego Rivas,Pitbull,26,145 lb ( 65 kg ),7-1-0,"69""","39"""
Jimmie Rivera,El Terror,28,135 lb ( 61 kg ),21-1-0,"68""","37"""
Karl Roberson,Baby K ,28,185 lb ( 84 kg ),6-0-0,"74""","41"""
Danny Roberts,Hot Chocolate,30,170 lb ( 77 kg ),14-3-0,"74""","42"""
Gillian Robertson,The Savage,22,125 lb ( 56 kg ),4-2-0,N/A,N/A
Luke Rockhold,N/A,33,185 lb ( 84 kg ),16-4-0,"77""","45"""
Mike Rodriguez,Slo-Mike,29,205 lb ( 93 kg ),9-3-0,"83""",N/A
Yair Rodriguez,El Pantera,25,145 lb ( 65 kg ),11-2-0,"71""","41"""
Nick Roehrick,N/A,30,205 lb ( 93 kg ),7-1-0,"75""","41"""
Yoel Romero,Soldier of God,40,185 lb ( 84 kg ),13-2-0,"73""","42"""
Mara Romero Borella,Kunoichici,31,125 lb ( 56 kg ),"12-5-0, 1NC","69""",N/A
Charles Rosa,Boston Strong,31,145 lb ( 65 kg ),11-3-0,"69""","39"""
Ben Rothwell,N/A,36,265 lb ( 120 kg ),36-10-0,"78""","43"""
Khalil Rountree Jr.,N/A,28,205 lb ( 93 kg ),7-3-0,"74""",N/A
Ronda Rousey,Rowdy,31,135 lb ( 61 kg ),12-2-0,"68""","38"""
Mauricio Rua,Shogun,36,205 lb ( 93 kg ),24-10-0,"76""","40"""
Frankie Saenz,N/A,37,135 lb ( 61 kg ),12-5-0,"66""","38"""
Saparbek Safarov,N/A,31,205 lb ( 93 kg ),8-2-0,"78""","41"""
Tarec Saffiedine,Sponge,31,170 lb ( 77 kg ),16-7-0,"70""","42"""
Jason Saggo,N/A,32,155 lb ( 70 kg ),12-4-0,"71""","40"""
Ovince Saint Preux,N/A,35,205 lb ( 93 kg ),22-11-0,"80""","45"""
Gokhan Saki,The Rebel,34,205 lb ( 93 kg ),1-1-0,"73""",N/A
Muslim Salikhov,King of Kung Fu,33,170 lb ( 77 kg ),14-2-0,"70""","41"""
Boston Salmon,Boom Boom,27,135 lb ( 61 kg ),6-1-0,"69""","39"""
Andrew Sanchez,El Dirte,30,185 lb ( 84 kg ),10-4-0,"74""","41"""
Diego Sanchez,Nightmare,36,155 lb ( 70 kg ),29-11-0,"72""","40"""
Joby Sanchez,N/A,26,125 lb ( 56 kg ),11-3-0,"68""","39"""
Roberto Sanchez,Littlefury,32,125 lb ( 56 kg ),8-1-0,"66""","37"""
Luke Sanders,Cool Hand,32,135 lb ( 61 kg ),13-2-0,"67""","36"""
Cory Sandhagen,N/A,25,145 lb ( 65 kg ),8-1-0,"70""","40"""
Hector Sandoval,Kid Alex,31,125 lb ( 56 kg ),14-4-0,"64""","36"""
Mike Santiago,Little Bully,28,145 lb ( 65 kg ),21-11-0,"69""","41"""
Leonardo Santos,N/A,38,155 lb ( 70 kg ),16-4-1,"75""","42"""
Thiago Santos,de Lima Marreta,34,185 lb ( 84 kg ),17-5-0,"76""","42"""
Ulka Sasaki,N/A,28,125 lb ( 56 kg ),20-5-2,"71""","42"""
Ben Saunders,Killa B,35,170 lb ( 77 kg ),21-9-2,"77""","45"""
Matt Schnell,Danger,28,125 lb ( 56 kg ),11-4-0,"70""","38"""
Justin Scoggins,N/A,25,135 lb ( 61 kg ),11-4-0,"66""","39"""
Bradley Scott,Bear,28,170 lb ( 77 kg ),12-5-0,"76""","44"""
Neil Seery,2Tap,38,125 lb ( 56 kg ),16-13-0,"64""","38"""
Eric Shelton,Showtime,27,125 lb ( 56 kg ),11-5-0,"68""","36"""
Chase Sherman,The Vanilla Gorilla,28,250 lb ( 113 kg ),11-4-0,"78""","43"""
Valentina Shevchenko,Bullet,30,125 lb ( 56 kg ),15-3-0,"67""",N/A
Anderson Silva,The Spider,43,185 lb ( 84 kg ),"34-8-0, 1NC","77""","42"""
Claudio Silva,Hannibal,35,170 lb ( 77 kg ),11-1-0,"71""",N/A
Erick Silva,The Tiger,33,170 lb ( 77 kg ),"19-9-0, 1NC","74""","41"""
Felipe Silva,N/A,33,155 lb ( 70 kg ),8-1-0,"77""","42"""
Joaquim Silva,Netto BJJ,29,155 lb ( 70 kg ),10-1-0,"69""","39"""
Douglas Silva de Andrade,D Silva,32,135 lb ( 61 kg ),"25-2-0, 1NC","68""","37"""
Ricky Simon,N/A,N/A,135 lb ( 61 kg ),10-1-0,"69""",N/A
Everett Sims,N/A,29,261 lb ( 118 kg ),4-1-0,"77""",N/A
Arjan Singh Bhullar,N/A,31,245 lb ( 111 kg ),7-1-0,"76""","43"""
Dennis Siver,N/A,39,145 lb ( 65 kg ),"23-11-0, 1NC","70""","38"""
Chas Skelly,The Scrapper,32,145 lb ( 65 kg ),17-2-0,"72""","42"""
Anthony Smith,Lionheart,29,185 lb ( 84 kg ),28-13-0,"77""","44"""
Leslie Smith,The Peacemaker,35,135 lb ( 61 kg ),10-7-1,"66""","39"""
Trevor Smith,Hot Sauce,37,185 lb ( 84 kg ),15-7-0,"75""","41"""
Dmitrii Smoliakov,The Lifeguard,33,253 lb ( 114 kg ),8-2-0,"74""","44"""
Louis Smolka,Da Last Samurai,26,125 lb ( 56 kg ),11-5-0,"68""","37"""
Peter Sobotta,N/A,31,170 lb ( 77 kg ),17-5-1,"75""","41"""
Dmitry Sosnovskiy,N/A,28,240 lb ( 109 kg ),10-0-0,"77""","45"""
Joe Soto,N/A,31,135 lb ( 61 kg ),18-7-0,"65""","36"""
Andre Soukhamthath,The Asian Sensation ,29,135 lb ( 61 kg ),12-6-0,"70""","37"""
Livinha Souza,N/A,27,115 lb ( 52 kg ),11-1-0,N/A,N/A
Ronaldo Souza,Jacare,38,185 lb ( 84 kg ),"25-5-0, 1NC","72""","41"""
Ryan Spann,Superman,26,205 lb ( 93 kg ),10-5-0,"81""","41"""
Eric Spicely,Zebrinha,31,185 lb ( 84 kg ),10-4-0,"73""","41"""
Daniel Spitz,Daddy Long Legs,27,245 lb ( 111 kg ),6-1-0,N/A,N/A
Daniel Spohn,N/A,33,206 lb ( 93 kg ),16-5-0,N/A,N/A
Georges St-Pierre,Rush,36,185 lb ( 84 kg ),26-2-0,"76""","42"""
Cody Stamann,Spartan,28,135 lb ( 61 kg ),17-1-0,"64""","35"""
Joshua Stansbury,The Sandman,33,205 lb ( 93 kg ),8-5-0,"74""",N/A
Damian Stasiak,Webster,28,135 lb ( 61 kg ),10-5-0,"70""","40"""
Dominique Steele,“Non-Stop Action-Packed” Dom T. Steele ,30,170 lb ( 77 kg ),14-9-0,"74""","40"""
Jeremy Stephens,Lil' Heathen,31,145 lb ( 65 kg ),28-14-0,"71""","38"""
Aljamain Sterling,Funk Master,28,135 lb ( 61 kg ),14-3-0,"71""","39"""
Maia Stevenson,N/A,36,115 lb ( 52 kg ),6-5-0,"62""","36"""
Darren Stewart,The Dentist,27,185 lb ( 84 kg ),"7-3-0, 1NC","74""","41"""
Kyle Stewart,Gunz Up,29,170 lb ( 77 kg ),8-0-0,"76""",N/A
Lazar  Stojadinovic,N/A,29,145 lb ( 65 kg ),12-6-0,"68""","40"""
Sean Strickland,Tarzan,27,170 lb ( 77 kg ),18-2-1,"76""","41"""
Stefan Struve,Skyscraper,30,265 lb ( 120 kg ),32-10-0,"84""","48"""
Tatiana Suarez,N/A,27,115 lb ( 52 kg ),6-0-0,"67""",N/A
George Sullivan,The Silencer,37,170 lb ( 77 kg ),"17-6-0, 1NC","73""","41"""
Cub Swanson,N/A,34,145 lb ( 65 kg ),25-8-0,"70""","38"""
Mairbek Taisumov,Beckan,29,155 lb ( 70 kg ),26-5-0,"73""","40"""
Nordine Taleb,N/A,36,170 lb ( 77 kg ),14-4-0,"74""","42"""
Brad Tavares,N/A,30,185 lb ( 84 kg ),18-5-0,"74""","43"""
Danielle Taylor,Dynamite,28,115 lb ( 52 kg ),9-3-0,"60""","33"""
Jesse Taylor,JT Money,35,185 lb ( 84 kg ),32-15-0,"73""","42"""
Glover Teixeira,N/A,38,205 lb ( 93 kg ),27-6-0,"76""","42"""
Daniel Teymur,Kid Dynamite ,30,155 lb ( 70 kg ),6-1-0,"69""","38"""
David Teymur,N/A,28,155 lb ( 70 kg ),7-1-0,"73""","41"""
Elias Theodorou,The Spartan,29,185 lb ( 84 kg ),15-2-0,"75""","40"""
Stephen Thompson,Wonderboy,35,170 lb ( 77 kg ),14-2-1,"75""","41"""
Gleison Tibau,N/A,34,155 lb ( 70 kg ),40-13-0,"71""","39"""
Darren Till,The Gorilla,25,170 lb ( 77 kg ),16-0-1,"74""","42"""
... To be announced,N/A,N/A,N/A,N/A,N/A,N/A
. To Be Determined,N/A,N/A,N/A,N/A,N/A,N/A
... To be determined,N/A,N/A,N/A,N/A,N/A,N/A
Tecia Torres,The Tiny Tornado,28,115 lb ( 52 kg ),10-2-0,"60""","35"""
Salim Touahri,Grizzly,28,170 lb ( 77 kg ),10-2-0,"72""","41"""
Francisco Trinaldo,Massaranduba,39,155 lb ( 70 kg ),22-6-0,"70""","40"""
Abel Trujillo,Killa,34,155 lb ( 70 kg ),"15-8-0, 1NC","70""","39"""
Jon Tuck,The Super Saiyan,33,155 lb ( 70 kg ),10-4-0,"73""","39"""
