Name,Fight Name,Age,Weight,Record,Reach,Leg Reach
Steve Bosse,The Boss,36,205 lb ( 93 kg ),12-2-0,"72""","40"""
Poliana Botelho,N/A,29,115 lb ( 52 kg ),5-1-0,N/A,N/A
David Branch,N/A,36,185 lb ( 84 kg ),21-4-0,"81""",N/A
Martin Bravo,El Toro,24,155 lb ( 70 kg ),12-1-0,"71""","38"""
Tom Breese,N/A,26,170 lb ( 77 kg ),10-1-0,"73""","44"""
Henry Briones,Bure,37,135 lb ( 61 kg ),19-7-1,"69""","38"""
Jarred Brooks,The Monkey God,24,125 lb ( 56 kg ),13-1-0,"62""","36"""
Will Brooks,Ill Will,31,155 lb ( 70 kg ),18-4-0,"72""",N/A
Damien Brown,Beatdown,33,155 lb ( 70 kg ),17-12-0,"68""","42"""
Matt Brown,The Immortal,37,170 lb ( 77 kg ),23-16-0,"75""","43"""
Randy Brown,Rudeboy,27,170 lb ( 77 kg ),10-2-0,"78""","45"""
Travis Browne,Hapa,35,255 lb ( 115 kg ),18-7-1,"79""","45"""
Derek Brunson,N/A,34,185 lb ( 84 kg ),18-6-0,"77""","43"""
Wuliji Buren,Beast Master,29,145 lb ( 65 kg ),10-5-0,"69""","38"""
Shane Burgos,Hurricane,27,145 lb ( 65 kg ),10-1-0,"75""","40"""
Joshua Burkman,The People's Warrior,38,170 lb ( 77 kg ),"29-17-0, 1NC","72""","39"""
Mads Burnell,N/A,24,145 lb ( 65 kg ),9-2-0,"69""","39"""
Gilbert Burns,Durinho,31,155 lb ( 70 kg ),14-2-0,"71""","39"""
Martin Buschkamp,Barracuda,27,145 lb ( 65 kg ),"9-0-0, 1NC","70""","40"""
JP Buys,N/A,21,125 lb ( 56 kg ),4-2-0,"66""",N/A
Charles Byrd,Kid Dynamite,34,185 lb ( 84 kg ),9-4-0,"73""","39"""
Alex Caceres,Bruce Leeroy,29,145 lb ( 65 kg ),"13-11-0, 1NC","73""","41"""
Priscila Cachoeira,Zombie Girl,29,125 lb ( 56 kg ),8-1-0,"65""","37"""
Joanne Calderwood,JoJo,32,115 lb ( 52 kg ),11-3-0,"65""","38"""
